dataset,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,0.3,long,Decision Tree,27,0.23493815601177306,0.4774173943560272,19073.0,,,
history_only,0.3,long,Random Forest,27,0.2348317307114456,0.47727814181803474,19073.0,,,
history_only,0.3,long,Naive (persistence),28,0.21455272995314062,0.6006805666558604,18993.0,,,
history_only,0.3,long,Linear Regression,28,0.22217466724208,0.42459528820501,18993.0,,,
history_only,0.3,long,Decision Tree,28,0.22222104056145214,0.42474536600866003,18993.0,,,
history_only,0.3,long,Random Forest,28,0.22202355335702312,0.424600136279343,18993.0,,,
history_only,0.3,long,Naive (persistence),29,0.2354778925072809,0.6194705093389787,18885.0,,,
history_only,0.3,long,Linear Regression,29,0.231592031429393,0.43931954543272983,18885.0,,,
history_only,0.3,long,Decision Tree,29,0.2315674872947709,0.4392995568893236,18885.0,,,
history_only,0.3,long,Random Forest,29,0.23135678383594183,0.43932185494288045,18885.0,,,
history_only,0.3,long,Linear Regression,ALL_MEAN,0.2315037909755901,,,0.005816309721161203,0.01049025017338967,5.0
history_only,0.3,long,Decision Tree,ALL_MEAN,0.23146072856215438,,,0.005759320825297254,0.010674310562924227,5.0
history_only,0.3,long,Random Forest,ALL_MEAN,0.23129029857203073,,,0.005794279421497933,0.01140277438712134,5.0
history_only,0.3,long,Naive (persistence),ALL_MEAN,0.23395806965636873,,,0.011201088746022398,0.0,5.0
history_only,0.3,extra_long,Naive (persistence),25,0.24859469398476491,0.6883777559282713,19035.0,,,
history_only,0.3,extra_long,Linear Regression,25,0.23907055723832515,0.48868422937578193,19035.0,,,
history_only,0.3,extra_long,Decision Tree,25,0.23897470803088008,0.48874009720036543,19035.0,,,
history_only,0.3,extra_long,Random Forest,25,0.23908832800822147,0.4887438839148652,19035.0,,,
history_only,0.3,extra_long,Naive (persistence),26,0.2289321409784324,0.6408010505008461,19010.0,,,
history_only,0.3,extra_long,Linear Regression,26,0.22948239460396597,0.45490946979103036,19010.0,,,
history_only,0.3,extra_long,Decision Tree,26,0.2294106987500998,0.4549179271944443,19010.0,,,
history_only,0.3,extra_long,Random Forest,26,0.22947546190078227,0.4548283591104936,19010.0,,,
history_only,0.3,extra_long,Naive (persistence),27,0.23420542127614952,0.6635968048005336,19073.0,,,
history_only,0.3,extra_long,Linear Regression,27,0.2356459219569293,0.4802525081412612,19073.0,,,
history_only,0.3,extra_long,Decision Tree,27,0.23632673251332234,0.4830100790522249,19073.0,,,
history_only,0.3,extra_long,Random Forest,27,0.2359002925285204,0.4804845726533429,19073.0,,,
history_only,0.3,extra_long,Naive (persistence),28,0.2144474279997894,0.5981332514672795,18993.0,,,
history_only,0.3,extra_long,Linear Regression,28,0.22329004174577055,0.42776000301949263,18993.0,,,
history_only,0.3,extra_long,Decision Tree,28,0.22326274318650075,0.42783476316453883,18993.0,,,
history_only,0.3,extra_long,Random Forest,28,0.22333818900384134,0.427800511749549,18993.0,,,
history_only,0.3,extra_long,Naive (persistence),29,0.23823140058247286,0.6270320421560521,18885.0,,,
history_only,0.3,extra_long,Linear Regression,29,0.23190569672592376,0.4411024549350541,18885.0,,,
history_only,0.3,extra_long,Decision Tree,29,0.2317189034162919,0.44111684479695384,18885.0,,,
history_only,0.3,extra_long,Random Forest,29,0.23178678650227727,0.4410694166038408,18885.0,,,
history_only,0.3,extra_long,Linear Regression,ALL_MEAN,0.23187892245418293,,,0.005393010857471119,0.004308162826758943,5.0
history_only,0.3,extra_long,Decision Tree,ALL_MEAN,0.23193875717941898,,,0.005485828393591006,0.004051231550442402,5.0
history_only,0.3,extra_long,Random Forest,ALL_MEAN,0.23191781158872854,,,0.005419753194170755,0.004141172255076153,5.0
history_only,0.3,extra_long,Naive (persistence),ALL_MEAN,0.23288221696432182,,,0.011248920958124242,0.0,5.0
history_only,0.5,short,Naive (persistence),25,0.6218534026131262,1.1776774940011847,19823.0,,,
history_only,0.5,short,Linear Regression,25,0.6514779084072854,0.9781237636062273,19823.0,,,
history_only,0.5,short,Decision Tree,25,0.6546151221964458,0.9731835932109127,19823.0,,,
history_only,0.5,short,Random Forest,25,0.654752200717785,0.9726663991072277,19823.0,,,
history_only,0.5,short,Naive (persistence),26,0.63533796716027,1.206535041215743,19854.0,,,
history_only,0.5,short,Linear Regression,26,0.673747599148166,1.0408184380611214,19854.0,,,
history_only,0.5,short,Decision Tree,26,0.6740643923752244,1.0286654764319298,19854.0,,,
history_only,0.5,short,Random Forest,26,0.6734685347287086,1.0247898638931614,19854.0,,,
history_only,0.5,short,Naive (persistence),27,0.5988081410029796,1.1521537263669959,19801.0,,,
history_only,0.5,short,Linear Regression,27,0.6407744893934065,0.9628281127524301,19801.0,,,
history_only,0.5,short,Decision Tree,27,0.6449807208871636,0.9575585889551591,19801.0,,,
history_only,0.5,short,Random Forest,27,0.6451319757869328,0.9575777930664489,19801.0,,,
history_only,0.5,short,Naive (persistence),28,0.5859426208843846,1.1380973010452569,19833.0,,,
history_only,0.5,short,Linear Regression,28,0.6391083929083395,0.9656306267488172,19833.0,,,
history_only,0.5,short,Decision Tree,28,0.6437737703702759,0.9586620588226477,19833.0,,,
history_only,0.5,short,Random Forest,28,0.644058329730581,0.9587952881087525,19833.0,,,
history_only,0.5,short,Naive (persistence),29,0.5955260893769928,1.1420891514854636,19759.0,,,
history_only,0.5,short,Linear Regression,29,0.6319344208770915,0.9466351568043736,19759.0,,,
history_only,0.5,short,Decision Tree,29,0.6342722789194942,0.9368827236308361,19759.0,,,
history_only,0.5,short,Random Forest,29,0.6345199255197644,0.9371020684663649,19759.0,,,
history_only,0.5,short,Linear Regression,ALL_MEAN,0.6474085621468577,,,0.01457845827147953,-0.06570425603608476,5.0
history_only,0.5,short,Decision Tree,ALL_MEAN,0.6503412569497209,,,0.01349912856705215,-0.07053178769971025,5.0
history_only,0.5,short,Random Forest,ALL_MEAN,0.6503861932967543,,,0.013200330442118288,-0.07060575776912881,5.0
history_only,0.5,short,Naive (persistence),ALL_MEAN,0.6074936442075506,,,0.018246182740378866,0.0,5.0
history_only,0.5,medium,Naive (persistence),25,0.7402007768753468,1.3766708833565022,19823.0,,,
