weibull_shape,rho,acf_lag1,acf_lag5,acf_lag10,acf_lag20,half_life_lag
2.0,0.3,0.5088606851627505,0.06289714443271237,0.009176403978454086,-0.0020177811526714655,2.0
2.0,0.5,0.717025598894241,0.26389411506016786,0.08880071621475634,0.011753844320764635,3.0
2.0,0.7,0.8799172721690267,0.596601906619287,0.3900912789805429,0.17964924328590917,8.0
2.0,0.8,0.9426591267757567,0.7833621764463505,0.6368155228932484,0.43797021625843335,17.0
2.0,0.9,0.9814331711776164,0.9233386936007777,0.8590536767623049,0.75172308931726,
2.0,0.95,0.993634658282522,0.9726596606711745,0.9484613518020236,0.9037331728994176,
0.5,0.3,0.9304264343349136,0.6914766181573493,0.47740938319441373,0.23175392117384302,10.0
0.5,0.5,0.966131218922434,0.8237689713421185,0.6712291976358733,0.4509529349235188,18.0
0.5,0.7,0.9882737822434171,0.9319826831952627,0.8626612357641769,0.7395532987937333,
0.5,0.8,0.9935482396147146,0.9610720396927201,0.9190577812258531,0.8413018633054203,
0.5,0.9,0.997372282741706,0.9834098718030203,0.9643168994334907,0.9265758813400126,
0.5,0.95,0.9989383305418192,0.9932538624849089,0.9854038792268197,0.969342295705428,
