rho,RF_default_precision,RF_default_recall,RF_default_f1,RF_balanced_precision,RF_balanced_recall,RF_balanced_f1,RF_balanced_tuned_threshold,RF_balanced_tuned_precision,RF_balanced_tuned_recall,RF_balanced_tuned_f1
0.3,0.0,0.0,0.0,0.09225147289134164,0.14525598872710194,0.11283922462941848,0.25,0.08964871095764951,1.0,0.16454607811881092
0.5,0.5555555555555556,0.011469768966082254,0.022475517739605072,0.17498829438556165,0.3368015729968868,0.23031457463794505,0.5,0.17498829438556165,0.3368015729968868,0.23031457463794505
0.7,0.7029865441417787,0.25863318039120986,0.37814458469414775,0.3914491714803727,0.5604926346293166,0.46096174375015514,0.6000000000000001,0.4785823403605255,0.47283264911857037,0.47569012116978954
0.8,0.7653171257719832,0.47752156095174014,0.5880979284369114,0.49089704105103116,0.7702000122331641,0.5996190476190476,0.7000000000000001,0.6382872167271817,0.623646706220564,0.6308820344646228
0.9,0.868532075939943,0.7803232998885172,0.822068236537671,0.6863139735480162,0.9313823857302118,0.7902852007756704,0.7500000000000001,0.8295524561698314,0.8255295429208472,0.8275361104126505
0.95,0.9369402398784895,0.9089939024390243,0.9227555257524566,0.8538592254717825,0.9702235772357723,0.9083297654726226,0.7500000000000001,0.9250012711648955,0.9243902439024391,0.9246956565938953
