dataset,weibull_shape,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2.0,0.3,medium,Naive (persistence),28,0.8774907749077491,0.06544293695131684,0.06639676113360324,0.06591639871382636,18970.0,0.06510279388508171,,,,,
history_only,2.0,0.3,medium,Logistic Regression,28,0.9348972061149183,0.0,0.0,0.0,18970.0,0.06510279388508171,,,,,
history_only,2.0,0.3,medium,Random Forest,28,0.9348972061149183,0.0,0.0,0.0,18970.0,0.06510279388508171,,,,,
history_only,2.0,0.3,medium,Naive (always 'not congested'),29,0.9348910475190338,0.0,0.0,0.0,19045.0,0.06510895248096614,,,,,
history_only,2.0,0.3,medium,Naive (persistence),29,0.8800210028878971,0.07692307692307693,0.07661290322580645,0.07676767676767676,19045.0,0.06510895248096614,,,,,
history_only,2.0,0.3,medium,Logistic Regression,29,0.9348910475190338,0.0,0.0,0.0,19045.0,0.06510895248096614,,,,,
history_only,2.0,0.3,medium,Random Forest,29,0.9348910475190338,0.0,0.0,0.0,19045.0,0.06510895248096614,,,,,
history_only,2.0,0.3,medium,Naive (always 'not congested'),ALL_MEAN,0.9338723857149711,0.0,0.0,0.0,,0.06612761428502888,0.002496433687984218,0.0,0.0,0.0,5.0
history_only,2.0,0.3,medium,Naive (persistence),ALL_MEAN,0.8773271739621633,0.07624881653136711,0.07693879248369519,0.07659118674466031,,0.06612761428502888,0.00418950522292724,0.009623799203957985,0.009605768137357145,0.009611117298066404,5.0
history_only,2.0,0.3,medium,Logistic Regression,ALL_MEAN,0.9338723857149711,0.0,0.0,0.0,,0.06612761428502888,0.002496433687984218,0.0,0.0,0.0,5.0
history_only,2.0,0.3,medium,Random Forest,ALL_MEAN,0.9338512970703968,0.0,0.0,0.0,,0.06612761428502888,0.0024841630107283945,0.0,0.0,0.0,5.0
history_only,2.0,0.3,long,Naive (always 'not congested'),25,0.9349422875131165,0.0,0.0,0.0,19060.0,0.06505771248688352,,,,,
history_only,2.0,0.3,long,Naive (persistence),25,0.8766002098635887,0.0552,0.055645161290322584,0.05542168674698795,19060.0,0.06505771248688352,,,,,
history_only,2.0,0.3,long,Logistic Regression,25,0.9349422875131165,0.0,0.0,0.0,19060.0,0.06505771248688352,,,,,
history_only,2.0,0.3,long,Random Forest,25,0.9348898216159496,0.3333333333333333,0.0008064516129032258,0.0016090104585679806,19060.0,0.06505771248688352,,,,,
history_only,2.0,0.3,long,Naive (always 'not congested'),26,0.9357914812460267,0.0,0.0,0.0,18876.0,0.06420851875397329,,,,,
history_only,2.0,0.3,long,Naive (persistence),26,0.8779402415766052,0.05967741935483871,0.06105610561056106,0.06035889070146819,18876.0,0.06420851875397329,,,,,
history_only,2.0,0.3,long,Logistic Regression,26,0.9357914812460267,0.0,0.0,0.0,18876.0,0.06420851875397329,,,,,
history_only,2.0,0.3,long,Random Forest,26,0.9356325492689129,0.0,0.0,0.0,18876.0,0.06420851875397329,,,,,
history_only,2.0,0.3,long,Naive (always 'not congested'),27,0.9298439224341795,0.0,0.0,0.0,19029.0,0.0701560775658206,,,,,
history_only,2.0,0.3,long,Naive (persistence),27,0.8698828104472122,0.08082292432035268,0.08239700374531835,0.08160237388724036,19029.0,0.0701560775658206,,,,,
history_only,2.0,0.3,long,Logistic Regression,27,0.9298439224341795,0.0,0.0,0.0,19029.0,0.0701560775658206,,,,,
history_only,2.0,0.3,long,Random Forest,27,0.9298439224341795,0.0,0.0,0.0,19029.0,0.0701560775658206,,,,,
history_only,2.0,0.3,long,Naive (always 'not congested'),28,0.9335266209804955,0.0,0.0,0.0,18970.0,0.06647337901950448,,,,,
history_only,2.0,0.3,long,Naive (persistence),28,0.8755930416447022,0.061452513966480445,0.06106264869151467,0.061256961018297536,18970.0,0.06647337901950448,,,,,
history_only,2.0,0.3,long,Logistic Regression,28,0.9335266209804955,0.0,0.0,0.0,18970.0,0.06647337901950448,,,,,
history_only,2.0,0.3,long,Random Forest,28,0.9335266209804955,0.0,0.0,0.0,18970.0,0.06647337901950448,,,,,
history_only,2.0,0.3,long,Naive (always 'not congested'),29,0.9367813074297716,0.0,0.0,0.0,19045.0,0.06321869257022841,,,,,
history_only,2.0,0.3,long,Naive (persistence),29,0.8794959306904699,0.058299595141700404,0.059800664451827246,0.05904059040590406,19045.0,0.06321869257022841,,,,,
history_only,2.0,0.3,long,Logistic Regression,29,0.9367813074297716,0.0,0.0,0.0,19045.0,0.06321869257022841,,,,,
history_only,2.0,0.3,long,Random Forest,29,0.9367813074297716,0.0,0.0,0.0,19045.0,0.06321869257022841,,,,,
history_only,2.0,0.3,long,Naive (always 'not congested'),ALL_MEAN,0.9341771239207179,0.0,0.0,0.0,,0.06582287607928206,0.0024154993621988306,0.0,0.0,0.0,5.0
history_only,2.0,0.3,long,Naive (persistence),ALL_MEAN,0.8759024468445157,0.06309049055667446,0.06399231675790878,0.06353610055197961,,0.06582287607928206,0.0032828146668816022,0.009099271944768414,0.009414687965521897,0.00924913719808113,5.0
history_only,2.0,0.3,long,Logistic Regression,ALL_MEAN,0.9341771239207179,0.0,0.0,0.0,,0.06582287607928206,0.0024154993621988306,0.0,0.0,0.0,5.0
history_only,2.0,0.3,long,Random Forest,ALL_MEAN,0.9341348443458619,0.06666666666666667,0.00016129032258064516,0.00032180209171359613,,0.06582287607928206,0.002391602980584834,0.13333333333333333,0.00032258064516129027,0.0006436041834271923,5.0
history_only,2.0,0.3,extra_long,Naive (always 'not congested'),25,0.9347848898216159,0.0,0.0,0.0,19060.0,0.06521511017838405,,,,,
history_only,2.0,0.3,extra_long,Naive (persistence),25,0.8785414480587618,0.0712,0.07160096540627514,0.07139991977537104,19060.0,0.06521511017838405,,,,,
history_only,2.0,0.3,extra_long,Logistic Regression,25,0.9347848898216159,0.0,0.0,0.0,19060.0,0.06521511017838405,,,,,
history_only,2.0,0.3,extra_long,Random Forest,25,0.9347848898216159,0.0,0.0,0.0,19060.0,0.06521511017838405,,,,,
history_only,2.0,0.3,extra_long,Naive (always 'not congested'),26,0.9361623225259589,0.0,0.0,0.0,18876.0,0.06383767747404111,,,,,
history_only,2.0,0.3,extra_long,Naive (persistence),26,0.8810659037931765,0.08064516129032258,0.08298755186721991,0.081799591002045,18876.0,0.06383767747404111,,,,,
history_only,2.0,0.3,extra_long,Logistic Regression,26,0.9361623225259589,0.0,0.0,0.0,18876.0,0.06383767747404111,,,,,
history_only,2.0,0.3,extra_long,Random Forest,26,0.9361623225259589,0.0,0.0,0.0,18876.0,0.06383767747404111,,,,,
history_only,2.0,0.3,extra_long,Naive (always 'not congested'),27,0.9294235114824742,0.0,0.0,0.0,19029.0,0.07057648851752588,,,,,
history_only,2.0,0.3,extra_long,Naive (persistence),27,0.8679909611645383,0.07053637031594416,0.07148175725986597,0.07100591715976332,19029.0,0.07057648851752588,,,,,
history_only,2.0,0.3,extra_long,Logistic Regression,27,0.9294235114824742,0.0,0.0,0.0,19029.0,0.07057648851752588,,,,,
history_only,2.0,0.3,extra_long,Random Forest,27,0.9294235114824742,0.0,0.0,0.0,19029.0,0.07057648851752588,,,,,
history_only,2.0,0.3,extra_long,Naive (always 'not congested'),28,0.9340010542962572,0.0,0.0,0.0,18970.0,0.06599894570374275,,,,,
history_only,2.0,0.3,extra_long,Naive (persistence),28,0.8767000527148129,0.06624102154828412,0.06629392971246006,0.06626746506986028,18970.0,0.06599894570374275,,,,,
history_only,2.0,0.3,extra_long,Logistic Regression,28,0.9340010542962572,0.0,0.0,0.0,18970.0,0.06599894570374275,,,,,
history_only,2.0,0.3,extra_long,Random Forest,28,0.9340010542962572,0.0,0.0,0.0,18970.0,0.06599894570374275,,,,,
history_only,2.0,0.3,extra_long,Naive (always 'not congested'),29,0.9359936991336308,0.0,0.0,0.0,19045.0,0.06400630086636913,,,,,
history_only,2.0,0.3,extra_long,Naive (persistence),29,0.879863481228669,0.06720647773279352,0.06808859721082855,0.06764466177669112,19045.0,0.06400630086636913,,,,,
history_only,2.0,0.3,extra_long,Logistic Regression,29,0.9359936991336308,0.0,0.0,0.0,19045.0,0.06400630086636913,,,,,
history_only,2.0,0.3,extra_long,Random Forest,29,0.9359936991336308,0.0,0.0,0.0,19045.0,0.06400630086636913,,,,,
history_only,2.0,0.3,extra_long,Naive (always 'not congested'),ALL_MEAN,0.9340730954519874,0.0,0.0,0.0,,0.06592690454801257,0.0024569924912732685,0.0,0.0,0.0,5.0
history_only,2.0,0.3,extra_long,Naive (persistence),ALL_MEAN,0.8768323693919917,0.07116580617746888,0.07209056029132993,0.07162351095674616,,0.06592690454801257,0.004652298561554463,0.005102652593573818,0.005813284858893362,0.005449816300442453,5.0
history_only,2.0,0.3,extra_long,Logistic Regression,ALL_MEAN,0.9340730954519874,0.0,0.0,0.0,,0.06592690454801257,0.0024569924912732685,0.0,0.0,0.0,5.0
history_only,2.0,0.3,extra_long,Random Forest,ALL_MEAN,0.9340730954519874,0.0,0.0,0.0,,0.06592690454801257,0.0024569924912732685,0.0,0.0,0.0,5.0
history_only,2.0,0.5,short,Naive (always 'not congested'),25,0.9267556003020387,0.0,0.0,0.0,19865.0,0.07324439969796123,,,,,
history_only,2.0,0.5,short,Naive (persistence),25,0.8890007550969041,0.24209078404401652,0.24192439862542955,0.2420075627363355,19865.0,0.07324439969796123,,,,,
