erlang_k,rho,acf_lag1,acf_lag5,acf_lag10,acf_lag20,half_life_lag
2,0.3,0.5942568255416611,0.1119529927310271,0.01636142419135661,-0.003190622580442978,2.0
2,0.5,0.765194563807847,0.32527343614906706,0.1287304445421064,0.02809651150069416,3.0
2,0.7,0.899833477478009,0.6367165785535306,0.4356482739151805,0.22001324980168296,9.0
2,0.8,0.9544728654898531,0.8170793628118954,0.6872571207120741,0.50547296383367,21.0
2,0.9,0.9838693236058565,0.9296656475541848,0.8697730182960173,0.7689242507335017,
2,0.95,0.9952477559266754,0.9784912423480477,0.9588324100703535,0.9219993251743013,
