dataset,weibull_shape,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2.0,0.3,long,Linear Regression,26,0.14815971710893214,0.3223085545656033,18876.0,,,
history_only,2.0,0.3,long,Decision Tree,26,0.14825855775660046,0.32269297901779026,18876.0,,,
history_only,2.0,0.3,long,Random Forest,26,0.14838454409448834,0.3225650196215781,18876.0,,,
history_only,2.0,0.3,long,Naive (persistence),27,0.16154290819275843,0.4803129289830526,19029.0,,,
history_only,2.0,0.3,long,Linear Regression,27,0.15572118328463241,0.34152145799012773,19029.0,,,
history_only,2.0,0.3,long,Decision Tree,27,0.15562978677481704,0.34159248424239463,19029.0,,,
history_only,2.0,0.3,long,Random Forest,27,0.1557482028773558,0.34155036192634,19029.0,,,
history_only,2.0,0.3,long,Naive (persistence),28,0.15524512387981024,0.4738273820507028,18970.0,,,
history_only,2.0,0.3,long,Linear Regression,28,0.1524231498991074,0.33549058763329737,18970.0,,,
history_only,2.0,0.3,long,Decision Tree,28,0.152416449004185,0.335589453012457,18970.0,,,
history_only,2.0,0.3,long,Random Forest,28,0.1524308087567193,0.33550152072995126,18970.0,,,
history_only,2.0,0.3,long,Naive (persistence),29,0.1486479390916251,0.458689905610596,19045.0,,,
history_only,2.0,0.3,long,Linear Regression,29,0.14799716089902606,0.3212713882300654,19045.0,,,
history_only,2.0,0.3,long,Decision Tree,29,0.14798098204763097,0.32124716250436874,19045.0,,,
history_only,2.0,0.3,long,Random Forest,29,0.14802779048077583,0.3212701669459027,19045.0,,,
history_only,2.0,0.3,long,Linear Regression,ALL_MEAN,0.1509740111843645,,,0.0028838063244296932,0.01801836544703672,5.0
history_only,2.0,0.3,long,Decision Tree,ALL_MEAN,0.15096629917558818,,,0.0028380246529993336,0.01806852673588666,5.0
history_only,2.0,0.3,long,Random Forest,ALL_MEAN,0.15106464135204972,,,0.0028396580612764523,0.017428878822781435,5.0
history_only,2.0,0.3,long,Naive (persistence),ALL_MEAN,0.1537442309224997,,,0.004532806372976273,0.0,5.0
history_only,2.0,0.3,extra_long,Naive (persistence),25,0.15078698845750263,0.4735390633211592,19060.0,,,
history_only,2.0,0.3,extra_long,Linear Regression,25,0.15055450205922613,0.33783465858067,19060.0,,,
history_only,2.0,0.3,extra_long,Decision Tree,25,0.15058004265059308,0.3378220149502431,19060.0,,,
history_only,2.0,0.3,extra_long,Random Forest,25,0.1504964042433318,0.3377804565130657,19060.0,,,
history_only,2.0,0.3,extra_long,Naive (persistence),26,0.14748887476160202,0.4621737522198128,18876.0,,,
history_only,2.0,0.3,extra_long,Linear Regression,26,0.1479717865676427,0.3240052280094092,18876.0,,,
history_only,2.0,0.3,extra_long,Decision Tree,26,0.14799470254541247,0.3240901149452961,18876.0,,,
history_only,2.0,0.3,extra_long,Random Forest,26,0.14793775596284478,0.32411482299620065,18876.0,,,
history_only,2.0,0.3,extra_long,Naive (persistence),27,0.16406537390299017,0.48607710793491815,19029.0,,,
history_only,2.0,0.3,extra_long,Linear Regression,27,0.15598175618315707,0.3429084046473815,19029.0,,,
history_only,2.0,0.3,extra_long,Decision Tree,27,0.1559138842811345,0.34292855248573095,19029.0,,,
history_only,2.0,0.3,extra_long,Random Forest,27,0.1558369771231043,0.3429782993501471,19029.0,,,
history_only,2.0,0.3,extra_long,Naive (persistence),28,0.15355824986821298,0.4695807302301482,18970.0,,,
history_only,2.0,0.3,extra_long,Linear Regression,28,0.15146081471974515,0.33361230937344905,18970.0,,,
history_only,2.0,0.3,extra_long,Decision Tree,28,0.15150704962526432,0.3336801473126765,18970.0,,,
history_only,2.0,0.3,extra_long,Random Forest,28,0.15132151411315836,0.33359605436663264,18970.0,,,
history_only,2.0,0.3,extra_long,Naive (persistence),29,0.1486479390916251,0.460745796963787,19045.0,,,
history_only,2.0,0.3,extra_long,Linear Regression,29,0.14862710547972613,0.32475976954919117,19045.0,,,
history_only,2.0,0.3,extra_long,Decision Tree,29,0.1486418823175445,0.3248068385620919,19045.0,,,
history_only,2.0,0.3,extra_long,Random Forest,29,0.14851369947705662,0.324788294961205,19045.0,,,
history_only,2.0,0.3,extra_long,Linear Regression,ALL_MEAN,0.15091919300189943,,,0.0028283129045823794,0.013016146197017409,5.0
history_only,2.0,0.3,extra_long,Decision Tree,ALL_MEAN,0.15092751228398976,,,0.002798070109063748,0.01296173961734337,5.0
history_only,2.0,0.3,extra_long,Random Forest,ALL_MEAN,0.15082127018389918,,,0.0027983078743480877,0.013656543474280358,5.0
history_only,2.0,0.3,extra_long,Naive (persistence),ALL_MEAN,0.1529094852163866,,,0.005948504577266651,0.0,5.0
history_only,2.0,0.5,short,Naive (persistence),25,0.4551220739994966,0.8989464426597962,19865.0,,,
history_only,2.0,0.5,short,Linear Regression,25,0.47571491798150656,0.7108252757217376,19865.0,,,
history_only,2.0,0.5,short,Decision Tree,25,0.4751579729826584,0.7066362261046473,19865.0,,,
history_only,2.0,0.5,short,Random Forest,25,0.47482896040413697,0.7060187504717931,19865.0,,,
history_only,2.0,0.5,short,Naive (persistence),26,0.475316423780949,0.9367038750660821,19831.0,,,
history_only,2.0,0.5,short,Linear Regression,26,0.4890758135035401,0.7501554078979017,19831.0,,,
history_only,2.0,0.5,short,Decision Tree,26,0.48686932546618017,0.73953980304214,19831.0,,,
history_only,2.0,0.5,short,Random Forest,26,0.48603516654143475,0.7369379058375739,19831.0,,,
history_only,2.0,0.5,short,Naive (persistence),27,0.4358483918055066,0.8725323659625395,19867.0,,,
history_only,2.0,0.5,short,Linear Regression,27,0.4572844849175171,0.6736491884170653,19867.0,,,
history_only,2.0,0.5,short,Decision Tree,27,0.4589019572766507,0.6711911018670682,19867.0,,,
history_only,2.0,0.5,short,Random Forest,27,0.4583132245357784,0.6700537557088501,19867.0,,,
history_only,2.0,0.5,short,Naive (persistence),28,0.46976111279104926,0.9249370342280407,19842.0,,,
history_only,2.0,0.5,short,Linear Regression,28,0.48402151181834807,0.7354770951002523,19842.0,,,
history_only,2.0,0.5,short,Decision Tree,28,0.4831905540807924,0.7315827542049004,19842.0,,,
history_only,2.0,0.5,short,Random Forest,28,0.48293574915945303,0.7309934284706886,19842.0,,,
history_only,2.0,0.5,short,Naive (persistence),29,0.46593882068826725,0.9267008154134675,19876.0,,,
history_only,2.0,0.5,short,Linear Regression,29,0.4852496926174221,0.7331199746554041,19876.0,,,
history_only,2.0,0.5,short,Decision Tree,29,0.4867727008656418,0.732209343203275,19876.0,,,
history_only,2.0,0.5,short,Random Forest,29,0.4863753987025894,0.7315703108059299,19876.0,,,
history_only,2.0,0.5,short,Linear Regression,ALL_MEAN,0.4782692841676668,,,0.011362058682649464,-0.038818466238688565,5.0
history_only,2.0,0.5,short,Decision Tree,ALL_MEAN,0.4781785021343847,,,0.010537742687492151,-0.038621284325281335,5.0
history_only,2.0,0.5,short,Random Forest,ALL_MEAN,0.4776976998686785,,,0.010547421656416265,-0.0375769641300292,5.0
history_only,2.0,0.5,short,Naive (persistence),ALL_MEAN,0.46039736461305375,,,0.013938770381872053,0.0,5.0
history_only,2.0,0.5,medium,Naive (persistence),25,0.5109489051094891,0.9987155103061386,19865.0,,,
history_only,2.0,0.5,medium,Linear Regression,25,0.49939178073099405,0.7315824589325133,19865.0,,,
history_only,2.0,0.5,medium,Decision Tree,25,0.49879554034129253,0.7310985416783121,19865.0,,,
history_only,2.0,0.5,medium,Random Forest,25,0.4986144716882277,0.7311556513281516,19865.0,,,
history_only,2.0,0.5,medium,Naive (persistence),26,0.5358277444405224,1.05135157014588,19831.0,,,
history_only,2.0,0.5,medium,Linear Regression,26,0.5128134708808376,0.779085933328742,19831.0,,,
history_only,2.0,0.5,medium,Decision Tree,26,0.5127110917317421,0.779970103371829,19831.0,,,
history_only,2.0,0.5,medium,Random Forest,26,0.511958982293483,0.7777540119700068,19831.0,,,
history_only,2.0,0.5,medium,Naive (persistence),27,0.47546182111038404,0.9459123046486764,19867.0,,,
history_only,2.0,0.5,medium,Linear Regression,27,0.4778622718374709,0.6829402824374271,19867.0,,,
history_only,2.0,0.5,medium,Decision Tree,27,0.477668067626022,0.6833065217762325,19867.0,,,
history_only,2.0,0.5,medium,Random Forest,27,0.4774592687660039,0.6829655194402725,19867.0,,,
history_only,2.0,0.5,medium,Naive (persistence),28,0.5343715351275073,1.0383484595429116,19842.0,,,
history_only,2.0,0.5,medium,Linear Regression,28,0.5094732268503003,0.7599101298469347,19842.0,,,
history_only,2.0,0.5,medium,Decision Tree,28,0.5081456223776253,0.7591496325423963,19842.0,,,
history_only,2.0,0.5,medium,Random Forest,28,0.5078765380149121,0.7588071247234225,19842.0,,,
history_only,2.0,0.5,medium,Naive (persistence),29,0.5368283356812236,1.0444440400458423,19876.0,,,
history_only,2.0,0.5,medium,Linear Regression,29,0.5112993770672332,0.7576744381402885,19876.0,,,
history_only,2.0,0.5,medium,Decision Tree,29,0.5105250963781877,0.7578245214811559,19876.0,,,
history_only,2.0,0.5,medium,Random Forest,29,0.5104090292803554,0.7577358210439379,19876.0,,,
history_only,2.0,0.5,medium,Linear Regression,ALL_MEAN,0.5021680254733671,,,0.013027281003265558,0.03184892148062435,5.0
history_only,2.0,0.5,medium,Decision Tree,ALL_MEAN,0.5015690836909739,,,0.01285734404284766,0.03300364679800738,5.0
history_only,2.0,0.5,medium,Random Forest,ALL_MEAN,0.5012636580085964,,,0.012770474498686495,0.033592489951695836,5.0
history_only,2.0,0.5,medium,Naive (persistence),ALL_MEAN,0.5186876682938253,,,0.02365253484420186,0.0,5.0
history_only,2.0,0.5,long,Naive (persistence),25,0.5334507928517493,1.0381351748828138,19865.0,,,
history_only,2.0,0.5,long,Linear Regression,25,0.5026071865008198,0.7336887933107094,19865.0,,,
history_only,2.0,0.5,long,Decision Tree,25,0.5024305567408222,0.7338411429270274,19865.0,,,
history_only,2.0,0.5,long,Random Forest,25,0.5023625456608062,0.7337017140007692,19865.0,,,
history_only,2.0,0.5,long,Naive (persistence),26,0.5657304220664616,1.1204274957280367,19831.0,,,
history_only,2.0,0.5,long,Linear Regression,26,0.5161187457743582,0.7840957841257202,19831.0,,,
history_only,2.0,0.5,long,Decision Tree,26,0.5165638592331026,0.7855083843972919,19831.0,,,
history_only,2.0,0.5,long,Random Forest,26,0.5163566833197538,0.7845052822007369,19831.0,,,
history_only,2.0,0.5,long,Naive (persistence),27,0.49322997936276236,0.9695884055342109,19867.0,,,
history_only,2.0,0.5,long,Linear Regression,27,0.48093381504118204,0.6817026498124686,19867.0,,,
history_only,2.0,0.5,long,Decision Tree,27,0.48082869210834583,0.681783076116367,19867.0,,,
history_only,2.0,0.5,long,Random Forest,27,0.4807852276386157,0.681595366538702,19867.0,,,
history_only,2.0,0.5,long,Naive (persistence),28,0.5515573026912609,1.080100119674708,19842.0,,,
history_only,2.0,0.5,long,Linear Regression,28,0.5115857600407374,0.7617562859906215,19842.0,,,
history_only,2.0,0.5,long,Decision Tree,28,0.5117795009907455,0.7632767102896685,19842.0,,,
history_only,2.0,0.5,long,Random Forest,28,0.5118247137572142,0.7622428144969817,19842.0,,,
history_only,2.0,0.5,long,Naive (persistence),29,0.5505634936606963,1.0703518341663174,19876.0,,,
history_only,2.0,0.5,long,Linear Regression,29,0.5128060735416975,0.7572288036723335,19876.0,,,
history_only,2.0,0.5,long,Decision Tree,29,0.5128095503354925,0.7575733129629608,19876.0,,,
history_only,2.0,0.5,long,Random Forest,29,0.5127725745272051,0.7573260709093413,19876.0,,,
history_only,2.0,0.5,long,Linear Regression,ALL_MEAN,0.504810316179759,,,0.01274880733404471,0.06326902420412173,5.0
history_only,2.0,0.5,long,Decision Tree,ALL_MEAN,0.5048824318817017,,,0.012895414712464253,0.06313520560001273,5.0
history_only,2.0,0.5,long,Random Forest,ALL_MEAN,0.5048203489807189,,,0.012877219281625914,0.0632504072402208,5.0
history_only,2.0,0.5,long,Naive (persistence),ALL_MEAN,0.538906398126586,,,0.025026227773781305,0.0,5.0
history_only,2.0,0.5,extra_long,Naive (persistence),25,0.5301283664736974,1.0324461872780433,19865.0,,,
history_only,2.0,0.5,extra_long,Linear Regression,25,0.5021605666648772,0.7336366846350161,19865.0,,,
history_only,2.0,0.5,extra_long,Decision Tree,25,0.5017771279676145,0.7336790597710026,19865.0,,,
history_only,2.0,0.5,extra_long,Random Forest,25,0.5017679601525533,0.7336440268262376,19865.0,,,
history_only,2.0,0.5,extra_long,Naive (persistence),26,0.5485351217790329,1.0926058321335668,19831.0,,,
history_only,2.0,0.5,extra_long,Linear Regression,26,0.515030860349214,0.7827813656851236,19831.0,,,
history_only,2.0,0.5,extra_long,Decision Tree,26,0.5157429122228139,0.78729637212306,19831.0,,,
history_only,2.0,0.5,extra_long,Random Forest,26,0.5155531311684372,0.7845154913947425,19831.0,,,
history_only,2.0,0.5,extra_long,Naive (persistence),27,0.4904615694367544,0.9681077402688766,19867.0,,,
history_only,2.0,0.5,extra_long,Linear Regression,27,0.4813843340019039,0.6838828571548041,19867.0,,,
history_only,2.0,0.5,extra_long,Decision Tree,27,0.4811956338664542,0.6839609459843702,19867.0,,,
history_only,2.0,0.5,extra_long,Random Forest,27,0.48123370178151853,0.6839119386186484,19867.0,,,
history_only,2.0,0.5,extra_long,Naive (persistence),28,0.5513053119645197,1.0707508620250399,19842.0,,,
history_only,2.0,0.5,extra_long,Linear Regression,28,0.5108068873368001,0.7601496829746359,19842.0,,,
history_only,2.0,0.5,extra_long,Decision Tree,28,0.5104051183750772,0.7610092841830544,19842.0,,,
history_only,2.0,0.5,extra_long,Random Forest,28,0.510657529175608,0.7605765103445276,19842.0,,,
