weibull_shape,rho,horizon,model,MAE_history,MAE_rich,rich_improvement
2.0,0.3,short,Linear Regression,0.1507466686201061,0.1507348908098005,7.812982146426783e-05
2.0,0.3,short,Decision Tree,0.1507188628313995,0.1506760734668538,0.00028390185370219534
2.0,0.3,short,Random Forest,0.1506291189000153,0.1505812802957095,0.00031759200780789865
2.0,0.3,short,Naive (persistence),0.1475580232643617,0.1475580232643617,0.0
2.0,0.3,medium,Linear Regression,0.151127395334513,0.1511367373995678,-6.18158278591352e-05
2.0,0.3,medium,Decision Tree,0.1511851286513289,0.15120070533565,-0.00010303053256666139
2.0,0.3,medium,Random Forest,0.1509965640877494,0.1509366787333002,0.0003966007757262302
2.0,0.3,medium,Naive (persistence),0.1521597392967261,0.1521597392967261,0.0
2.0,0.3,long,Linear Regression,0.1509740111843645,0.1509623265267431,7.73951591385158e-05
2.0,0.3,long,Decision Tree,0.1509662991755881,0.1510814352543294,-0.0007626608015831593
2.0,0.3,long,Random Forest,0.1510646413520497,0.1510972715594762,-0.00021600162112367371
2.0,0.3,long,Naive (persistence),0.1537442309224997,0.1537442309224997,0.0
2.0,0.3,extra_long,Linear Regression,0.1509191930018994,0.1509128666046438,4.191910339401694e-05
2.0,0.3,extra_long,Decision Tree,0.1509275122839897,0.150956266608455,-0.0001905174479466254
2.0,0.3,extra_long,Random Forest,0.1508212701838991,0.1508039932041145,0.00011455267392679325
2.0,0.3,extra_long,Naive (persistence),0.1529094852163866,0.1529094852163866,0.0
2.0,0.5,short,Linear Regression,0.4782692841676668,0.4781590051148717,0.00023057941717297137
2.0,0.5,short,Decision Tree,0.4781785021343847,0.4778139914387423,0.000762290010979827
2.0,0.5,short,Random Forest,0.4776976998686785,0.4775781927175808,0.00025017317674036477
2.0,0.5,short,Naive (persistence),0.4603973646130537,0.4603973646130537,0.0
2.0,0.5,medium,Linear Regression,0.5021680254733671,0.5021555703445733,2.480271176596993e-05
2.0,0.5,medium,Decision Tree,0.5015690836909739,0.5015780744712315,-1.7925307898680742e-05
2.0,0.5,medium,Random Forest,0.5012636580085964,0.5010636576826902,0.0003989922722519301
2.0,0.5,medium,Naive (persistence),0.5186876682938253,0.5186876682938253,0.0
2.0,0.5,long,Linear Regression,0.504810316179759,0.5048192916472007,-1.7779881183122015e-05
2.0,0.5,long,Decision Tree,0.5048824318817017,0.5048183227484232,0.00012697834036246025
2.0,0.5,long,Random Forest,0.5048203489807189,0.504744493698402,0.00015026193470624172
2.0,0.5,long,Naive (persistence),0.538906398126586,0.538906398126586,0.0
