rho,acf_lag1,acf_lag5,acf_lag10,acf_lag20,half_life_lag
0.3,0.6943647249058407,0.20621385531127875,0.04693014305856173,-0.0008056726609625773,3.0
0.5,0.8318715843960287,0.4385525922811035,0.2074589072028803,0.05173021842333288,5.0
0.7,0.9360526216324716,0.7416676917843298,0.5702688977908855,0.35346365396262786,13.0
0.8,0.9685004809191801,0.862886202280143,0.7560670704982833,0.5933381750252871,28.0
0.9,0.9898667754953758,0.9526010627564789,0.9105322830990016,0.8368518656308147,
0.95,0.9965045987630964,0.9831375326535646,0.9673431741665721,0.9380582903520475,
