rho,method,precision,recall,f1,test_congestion_rate
0.3,persistence,0.09880590025755093,0.09910756223579145,0.09895650134834096,0.08964587982651902
0.3,RF_default,0.0,0.0,0.0,0.08964587982651902
0.3,RF_class_weight,0.09225147289134164,0.14525598872710194,0.11283922462941848,0.08964587982651902
0.3,RF_class_weight_valtuned,0.08961675861923182,0.9956552372005636,0.1644332396005042,0.08964587982651902
0.3,RF_oversample,0.09154235857022235,0.15277125410991074,0.11448433650123196,0.08964587982651902
0.3,RF_undersample,0.09176128093158661,0.18506341005166746,0.12268887937409988,0.08964587982651902
0.5,persistence,0.2206591968594095,0.2210388333606423,0.22084885196250972,0.12320581407085898
0.5,RF_default,0.5555555555555556,0.011469768966082254,0.022475517739605072,0.12320581407085898
0.5,RF_class_weight,0.17498829438556165,0.3368015729968868,0.23031457463794505,0.12320581407085898
0.5,RF_class_weight_valtuned,0.17498829438556165,0.3368015729968868,0.23031457463794505,0.12320581407085898
0.5,RF_oversample,0.17629681119124163,0.3324594461740128,0.23041108335225982,0.12320581407085898
0.5,RF_undersample,0.17491637379853495,0.3384401114206128,0.2306339502554225,0.12320581407085898
0.7,persistence,0.47588870782787135,0.4760323593334943,0.4759605227416775,0.16608677342050115
0.7,RF_default,0.7029865441417787,0.25863318039120986,0.37814458469414775,0.16608677342050115
0.7,RF_class_weight,0.3914491714803727,0.5604926346293166,0.46096174375015514,0.16608677342050115
0.7,RF_class_weight_valtuned,0.4785823403605255,0.47283264911857037,0.47569012116978954,0.16608677342050115
0.7,RF_oversample,0.39063091880971423,0.5603115189567738,0.4603328125387496,0.16608677342050115
0.7,RF_undersample,0.3916116471982394,0.5586211060130404,0.46043988853503187,0.16608677342050115
0.8,persistence,0.6322620140801959,0.6317205945317756,0.6319911883490393,0.16376840629069417
0.8,RF_default,0.7653171257719832,0.47752156095174014,0.5880979284369114,0.16376840629069417
0.8,RF_class_weight,0.49089704105103116,0.7702000122331641,0.5996190476190476,0.16376840629069417
0.8,RF_class_weight_valtuned,0.6382872167271817,0.623646706220564,0.6308820344646228,0.16376840629069417
0.8,RF_oversample,0.49147904940587867,0.7690990274634534,0.599718598717001,0.16376840629069417
0.8,RF_undersample,0.48916925465838507,0.7707505046180194,0.5984943836234534,0.16376840629069417
0.9,persistence,0.827075208913649,0.827536231884058,0.8273056561716355,0.17967310311673745
0.9,RF_default,0.868532075939943,0.7803232998885172,0.822068236537671,0.17967310311673745
0.9,RF_class_weight,0.6863139735480162,0.9313823857302118,0.7902852007756704,0.17967310311673745
0.9,RF_class_weight_valtuned,0.8295524561698314,0.8255295429208472,0.8275361104126505,0.17967310311673745
0.9,RF_oversample,0.6862342357145791,0.9311594202898551,0.7901520705720976,0.17967310311673745
0.9,RF_undersample,0.6857412421035359,0.9318283166109254,0.7900656930856845,0.17967310311673745
0.95,persistence,0.9249313396399146,0.9240853658536585,0.9245081592191551,0.1970936695676558
0.95,RF_default,0.9369402398784895,0.9089939024390243,0.9227555257524566,0.1970936695676558
0.95,RF_class_weight,0.8538592254717825,0.9702235772357723,0.9083297654726226,0.1970936695676558
0.95,RF_class_weight_valtuned,0.9250012711648955,0.9243902439024391,0.9246956565938953,0.1970936695676558
0.95,RF_oversample,0.8547375962744045,0.9699186991869919,0.9086927544511092,0.1970936695676558
0.95,RF_undersample,0.8529135967849967,0.9705792682926829,0.9079500891265597,0.1970936695676558
