erlang_k,rho,horizon,model,MAE_history,MAE_std_history,MAE_rich,MAE_std_rich,rich_improvement
2,0.3,short,Linear Regression,0.177960507109268,0.00711060484104,0.1779564129406872,0.007101244774415,2.3006051439788955e-05
2,0.3,short,Decision Tree,0.1775888777175239,0.0069576951887204,0.1777997934461808,0.0067364371027913,-0.0011876629402003402
2,0.3,short,Random Forest,0.1778162268265593,0.0068626188237653,0.1777746406523971,0.0068269662552453,0.0002338716488611281
2,0.3,short,Naive (persistence),0.1715550122545065,0.0120159999748434,0.1715550122545065,0.0120159999748434,0.0
2,0.3,medium,Linear Regression,0.1790904906243419,0.0073339031038711,0.1790924662678064,0.007334842125274,-1.1031537507033562e-05
2,0.3,medium,Decision Tree,0.1790039833352883,0.0072734998984855,0.1789893615815916,0.0072332776710024,8.168395710683729e-05
2,0.3,medium,Random Forest,0.1791428259029249,0.007298470313252,0.1791059820041704,0.0072861583807467,0.00020566773226216029
2,0.3,medium,Naive (persistence),0.1827070045739386,0.0145679312930273,0.1827070045739386,0.0145679312930273,0.0
2,0.3,long,Linear Regression,0.1791447393573506,0.0071409309820562,0.1791508919230839,0.0071249697696315,-3.4344104969941114e-05
2,0.3,long,Decision Tree,0.1790702913268013,0.0071327139114071,0.1791637403756108,0.0071325486439402,-0.0005218567977809396
2,0.3,long,Random Forest,0.17908818175432,0.0071026373735442,0.1791585253686361,0.0070986984711289,-0.0003927875844571549
2,0.3,long,Naive (persistence),0.1857439265431184,0.0143837588854507,0.1857439265431184,0.0143837588854507,0.0
2,0.3,extra_long,Linear Regression,0.1788039564775959,0.0079888555721132,0.1788095478301418,0.0079842518570746,-3.1270854717435626e-05
2,0.3,extra_long,Decision Tree,0.1787453984882099,0.0080164612078001,0.1787740875509523,0.0079629452250163,-0.00016050238487297364
2,0.3,extra_long,Random Forest,0.1788570572809371,0.0080096061454656,0.1788559772503569,0.0079475873387243,6.038512522898998e-06
2,0.3,extra_long,Naive (persistence),0.1842403081039443,0.016182346218175,0.1842403081039443,0.016182346218175,0.0
2,0.5,short,Linear Regression,0.5411800002164995,0.0156835118421218,0.5413404581053805,0.015300079112113,-0.0002964963391418607
2,0.5,short,Decision Tree,0.5420424153653364,0.0144638028573607,0.5419699129835498,0.0145560458638129,0.00013375776457957844
2,0.5,short,Random Forest,0.5418621642044953,0.0145070604381703,0.541593460765886,0.0144376051966148,0.0004958889111658094
2,0.5,short,Naive (persistence),0.5176169551378815,0.0192112754892379,0.5176169551378815,0.0192112754892379,0.0
2,0.5,medium,Linear Regression,0.5791461847475404,0.0190746541478816,0.5791165913819567,0.0187871098930044,5.109826562466058e-05
2,0.5,medium,Decision Tree,0.5780871305363098,0.0186002084899046,0.5781192862819019,0.0188221130170342,-5.562439274897635e-05
2,0.5,medium,Random Forest,0.5777397918643735,0.0187210818649369,0.5776005930832863,0.018665707019188,0.00024093680762071745
2,0.5,medium,Naive (persistence),0.5971317066759652,0.0307211785070281,0.5971317066759652,0.0307211785070281,0.0
2,0.5,long,Linear Regression,0.5851321575264887,0.0187809413870639,0.5851303982405612,0.0187716665437247,3.006647139258689e-06
2,0.5,long,Decision Tree,0.5850113586989186,0.018700422156281,0.5849573271752786,0.0184873532743638,9.23597855607694e-05
2,0.5,long,Random Forest,0.584938564939388,0.0186640078386212,0.5848890494324037,0.0184589990289917,8.465078206876253e-05
2,0.5,long,Naive (persistence),0.631850390462606,0.0360304163567901,0.631850390462606,0.0360304163567901,0.0
2,0.5,extra_long,Linear Regression,0.584336195893772,0.0187836601973197,0.5843116574046651,0.0187085384638496,4.199378590497016e-05
2,0.5,extra_long,Decision Tree,0.5837010983838774,0.0184869434995164,0.5837540680038135,0.0184445349343793,-9.074785036844446e-05
2,0.5,extra_long,Random Forest,0.5837205533741748,0.0184740885981749,0.5836151955500316,0.0183975153585827,0.00018049360012117877
2,0.5,extra_long,Naive (persistence),0.6239225007059399,0.0330966901809147,0.6239225007059399,0.0330966901809147,0.0
2,0.7,short,Linear Regression,1.0793966679467448,0.0147771129564594,1.0789966785701748,0.0148950912443351,0.00037056754800890435
2,0.7,short,Decision Tree,1.0776095236706449,0.0136545683841553,1.0774457398478692,0.0139390084227691,0.00015198809882244202
2,0.7,short,Random Forest,1.077271015240227,0.0135991857428734,1.0769906201803006,0.0136482477563933,0.00026028274775768967
2,0.7,short,Naive (persistence),1.0565179515820715,0.0206487186122822,1.0565179515820715,0.0206487186122822,0.0
2,0.7,medium,Linear Regression,1.2764056324252273,0.0217745119604971,1.2705618026106626,0.0210143996539537,0.0045783485015348235
2,0.7,medium,Decision Tree,1.2541983324228478,0.0186382004212387,1.2537877138897169,0.0185469886777454,0.0003273952153466375
2,0.7,medium,Random Forest,1.2535626678141258,0.0185607033007963,1.2532403219046324,0.0187235956299855,0.0002571438331483433
2,0.7,medium,Naive (persistence),1.3407683931171746,0.0362231046441883,1.3407683931171746,0.0362231046441883,0.0
2,0.7,long,Linear Regression,1.3654946924376254,0.0287129662285412,1.3633920182024224,0.0278940441761027,0.0015398626203734223
2,0.7,long,Decision Tree,1.353139891859629,0.0279336036294037,1.3531407510182694,0.0278593998743613,-6.349370420544176e-07
2,0.7,long,Random Forest,1.3526333913747426,0.0279827459142018,1.3521939594915668,0.0276692120610813,0.0003248713849427487
2,0.7,long,Naive (persistence),1.579429171923182,0.0497520501573775,1.579429171923182,0.0497520501573775,0.0
2,0.7,extra_long,Linear Regression,1.3429588131645724,0.0258233385567215,1.3382325549296294,0.0257990950017855,0.003519287552688155
2,0.7,extra_long,Decision Tree,1.319977278486628,0.0236915091845445,1.3212469307312291,0.0244143249752961,-0.0009618743180617173
2,0.7,extra_long,Random Forest,1.3196704137488082,0.0235340533522816,1.319423128791792,0.0236495128377501,0.00018738387588290717
2,0.7,extra_long,Naive (persistence),1.4902645372582295,0.0404051107543636,1.4902645372582295,0.0404051107543636,0.0
2,0.8,short,Linear Regression,1.4137202344241495,0.0363041573974625,1.4083706771895474,0.0354169959673142,0.003784028200445988
2,0.8,short,Decision Tree,1.3994104818718456,0.0357764938831439,1.3999436458983894,0.0355469435962791,-0.0003809918772585963
2,0.8,short,Random Forest,1.3990662950272073,0.0353861232407249,1.3987477370050148,0.0353055470615626,0.00022769330039951186
2,0.8,short,Naive (persistence),1.393929734513209,0.0399604353099034,1.393929734513209,0.0399604353099034,0.0
2,0.8,medium,Linear Regression,1.777062979625881,0.0569879980254963,1.7692479392173333,0.0555166212398605,0.004397728441899673
2,0.8,medium,Decision Tree,1.7539584773751542,0.0556658865767817,1.7537360048372783,0.0548040754288278,0.0001268402534869706
2,0.8,medium,Random Forest,1.7535006746184791,0.0555127825228457,1.7535937751984438,0.0551892727533018,-5.309412269549618e-05
2,0.8,medium,Naive (persistence),1.8257359409121856,0.0639295114266851,1.8257359409121856,0.0639295114266851,0.0
2,0.8,long,Linear Regression,2.091862562064919,0.087116949947645,2.084539324682899,0.0885617025835558,0.0035008214759534306
2,0.8,long,Decision Tree,2.064459472164394,0.0859461049349664,2.066000420224631,0.0866637356142161,-0.0007464172007316527
