dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.3,long,Naive (persistence),29,0.18010922075194286,0.5190146254918836,19044.0,,,
history_only,2,0.3,long,Linear Regression,29,0.1762102551851228,0.3646244885519455,19044.0,,,
history_only,2,0.3,long,Decision Tree,29,0.17619913835290157,0.364672725009074,19044.0,,,
history_only,2,0.3,long,Random Forest,29,0.17617587380580896,0.3646388613675204,19044.0,,,
history_only,2,0.3,long,Linear Regression,ALL_MEAN,0.1791447393573506,,,0.007140930982056272,0.03552841435295018,5.0
history_only,2,0.3,long,Decision Tree,ALL_MEAN,0.17907029132680138,,,0.007132713911407124,0.03592922439252866,5.0
history_only,2,0.3,long,Random Forest,ALL_MEAN,0.17908818175432,,,0.0071026373735442894,0.03583290669400907,5.0
history_only,2,0.3,long,Naive (persistence),ALL_MEAN,0.18574392654311844,,,0.01438375888545078,0.0,5.0
history_only,2,0.3,extra_long,Naive (persistence),25,0.16717373059169113,0.506617973306362,19064.0,,,
history_only,2,0.3,extra_long,Linear Regression,25,0.1704011480545373,0.35769390388829275,19064.0,,,
history_only,2,0.3,extra_long,Decision Tree,25,0.17035302002127847,0.3577214679743039,19064.0,,,
history_only,2,0.3,extra_long,Random Forest,25,0.1704853678621066,0.3577281352823966,19064.0,,,
history_only,2,0.3,extra_long,Naive (persistence),26,0.17171073590315386,0.531477071230061,18834.0,,,
history_only,2,0.3,extra_long,Linear Regression,26,0.17257895149531835,0.3717569597039832,18834.0,,,
history_only,2,0.3,extra_long,Decision Tree,26,0.1724244606674607,0.3717192479784006,18834.0,,,
history_only,2,0.3,extra_long,Random Forest,26,0.1725490126626594,0.3717433232983632,18834.0,,,
history_only,2,0.3,extra_long,Naive (persistence),27,0.2119556652833955,0.5860793419962663,19037.0,,,
history_only,2,0.3,extra_long,Linear Regression,27,0.19234485976125676,0.41395379113309005,19037.0,,,
history_only,2,0.3,extra_long,Decision Tree,27,0.19234662274829004,0.4139798234712475,19037.0,,,
history_only,2,0.3,extra_long,Random Forest,27,0.19246776037200547,0.41400072497735263,19037.0,,,
history_only,2,0.3,extra_long,Naive (persistence),28,0.19193250725019773,0.5641546758525687,18965.0,,,
history_only,2,0.3,extra_long,Linear Regression,28,0.18293937769867677,0.39837950272340295,18965.0,,,
history_only,2,0.3,extra_long,Decision Tree,28,0.1828595552719913,0.3983771963073159,18965.0,,,
history_only,2,0.3,extra_long,Random Forest,28,0.1829320310703937,0.39836067434587846,18965.0,,,
history_only,2,0.3,extra_long,Naive (persistence),29,0.17842890149128335,0.5176977130287465,19044.0,,,
history_only,2,0.3,extra_long,Linear Regression,29,0.17575544537819016,0.36450933394008905,19044.0,,,
history_only,2,0.3,extra_long,Decision Tree,29,0.17574333373202902,0.36454548232099976,19044.0,,,
history_only,2,0.3,extra_long,Random Forest,29,0.17585111443752063,0.3645330708387307,19044.0,,,
history_only,2,0.3,extra_long,Linear Regression,ALL_MEAN,0.1788039564775959,,,0.007988855572113297,0.029506852665928895,5.0
history_only,2,0.3,extra_long,Decision Tree,ALL_MEAN,0.1787453984882099,,,0.008016461207800137,0.029824687508850256,5.0
history_only,2,0.3,extra_long,Random Forest,ALL_MEAN,0.17885705728093718,,,0.008009606145465628,0.029218637758519295,5.0
history_only,2,0.3,extra_long,Naive (persistence),ALL_MEAN,0.18424030810394432,,,0.016182346218175065,0.0,5.0
history_only,2,0.5,short,Naive (persistence),25,0.5278743012539658,1.0241580114276585,19857.0,,,
history_only,2,0.5,short,Linear Regression,25,0.5460041095762254,0.8246215790403765,19857.0,,,
history_only,2,0.5,short,Decision Tree,25,0.5471732472524194,0.821026849931881,19857.0,,,
history_only,2,0.5,short,Random Forest,25,0.5469359672142953,0.8204923972361388,19857.0,,,
history_only,2,0.5,short,Naive (persistence),26,0.510538523598225,1.0004285084322948,19832.0,,,
history_only,2,0.5,short,Linear Regression,26,0.5347740286400945,0.8097572535700869,19832.0,,,
history_only,2,0.5,short,Decision Tree,26,0.5350009803024898,0.7992693674927573,19832.0,,,
history_only,2,0.5,short,Random Forest,26,0.5346622711593358,0.798217836892822,19832.0,,,
